mission_id,elapsed_seconds,pos_x,pos_y,pos_z,speed,remaining_distance,battery_pct
M0009,2.010,-5.367,0.050,4.466,2.711,1.136,99.853
M0009,2.193,-4.958,0.050,4.814,2.792,0.599,99.819
M0010,0.003,-8.718,0.050,0.287,0.000,Infinity,99.994
M0010,0.504,-8.736,0.050,-0.531,2.769,Infinity,99.960
M0010,1.006,-7.500,0.050,-1.205,3.000,Infinity,99.924
M0010,1.507,-6.020,0.050,-1.446,2.986,Infinity,99.888
M0010,2.007,-4.545,0.050,-1.685,2.940,Infinity,99.853
M0010,2.507,-3.482,0.050,-1.882,1.520,Infinity,99.832
M0010,3.008,-3.078,0.050,-2.932,2.996,5.669,99.796
M0010,3.508,-2.584,0.050,-4.342,2.879,4.193,99.761
M0010,4.009,-1.328,0.050,-4.876,3.000,2.847,99.725
M0010,4.510,0.164,0.050,-5.047,3.000,1.345,99.689
M0010,4.760,0.906,0.050,-5.132,2.786,0.598,99.655
